epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.90917,1.99393,3.24229,1.92296,0.18686,0.13714,0.07826,0.02212,2.68254,8.64736,2.63835,0.000656863,0.000656863,0.000656863
2,17.1525,1.99831,2.94971,1.96047,0.01497,0.19429,0.00804,0.00181,3.49879,179.917,3.76168,0.00131043,0.00131043,0.00131043
3,25.3772,2.06548,2.79016,1.99749,0.16537,0.12571,0.07212,0.02119,2.84061,14.5576,3.10584,0.00195079,0.00195079,0.00195079
4,33.6008,2.05303,2.73151,2.0109,0.13436,0.27053,0.06984,0.01972,2.7796,14.9975,2.59015,0.0019406,0.0019406,0.0019406
5,41.8845,2.00162,2.56366,1.94358,0.16928,0.32,0.10172,0.03369,2.5566,3.69316,2.37121,0.0019208,0.0019208,0.0019208
6,50.5365,1.98782,2.5651,1.93304,0.15309,0.18857,0.10045,0.03114,2.61748,5.5775,2.3944,0.001901,0.001901,0.001901
7,58.7898,1.97247,2.51697,1.92495,0.19301,0.24571,0.125,0.03898,2.52204,3.24021,2.21233,0.0018812,0.0018812,0.0018812
8,67.1813,1.8609,2.37157,1.85642,0.29714,0.34545,0.17786,0.05601,2.45146,4.12738,2.15971,0.0018614,0.0018614,0.0018614
9,75.6878,1.84334,2.36187,1.81208,0.31622,0.33826,0.21641,0.07618,2.38855,2.49404,2.06985,0.0018416,0.0018416,0.0018416
10,84.0296,1.88248,2.37994,1.84057,0.31857,0.26857,0.20337,0.07361,2.23454,3.67469,1.96231,0.0018218,0.0018218,0.0018218
11,92.7415,1.80717,2.32538,1.82699,0.37738,0.36571,0.31695,0.11902,2.2321,2.24331,1.84973,0.001802,0.001802,0.001802
12,101.314,1.79739,2.22738,1.78647,0.30797,0.30857,0.24183,0.09197,2.25773,2.40137,1.99167,0.0017822,0.0017822,0.0017822
13,109.906,1.79796,2.2104,1.78025,0.28059,0.35429,0.2511,0.09338,2.24154,3.3385,1.96792,0.0017624,0.0017624,0.0017624
